# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-09-17 15:56:16 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06846300 BEAVER C NR HERNDON, KS
# -----------------------------------------------------------------------------------
#
# Data provided for site 06846300
#            TS   parameter     statistic     Description
#         54700       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	54700_00060_00003	54700_00060_00003_cd
USGS	06846300	1963-03-25	22.0	A
USGS	06846300	1963-03-26	20.0	A
USGS	06846300	1963-03-27	19.0	A
USGS	06846300	1963-03-28	19.0	A
USGS	06846300	1963-03-29	19.0	A
USGS	06846300	1963-03-30	19.0	A
USGS	06846300	1963-03-31	19.0	A
USGS	06846300	1963-04-01	19.0	A
USGS	06846300	1963-04-02	19.0	A
USGS	06846300	1963-04-03	19.0	A
USGS	06846300	1963-04-04	17.0	A
USGS	06846300	1963-04-05	14.0	A
USGS	06846300	1963-04-06	22.0	A
USGS	06846300	1963-04-07	18.0	A
USGS	06846300	1963-04-08	18.0	A
USGS	06846300	1963-04-09	18.0	A
USGS	06846300	1963-04-10	19.0	A
USGS	06846300	1963-04-11	19.0	A
USGS	06846300	1963-04-12	19.0	A
USGS	06846300	1963-04-13	19.0	A
USGS	06846300	1963-04-14	19.0	A
USGS	06846300	1963-04-15	19.0	A
USGS	06846300	1963-04-16	18.0	A
USGS	06846300	1963-04-17	20.0	A
USGS	06846300	1963-04-18	19.0	A
USGS	06846300	1963-04-19	18.0	A
USGS	06846300	1963-04-20	17.0	A
USGS	06846300	1963-04-21	16.0	A
USGS	06846300	1963-04-22	15.0	A
USGS	06846300	1963-04-23	14.0	A
USGS	06846300	1963-04-24	14.0	A
USGS	06846300	1963-04-25	14.0	A
USGS	06846300	1963-04-26	11.0	A
USGS	06846300	1963-04-27	11.0	A
USGS	06846300	1963-04-28	12.0	A
USGS	06846300	1963-04-29	12.0	A
USGS	06846300	1963-04-30	12.0	A
USGS	06846300	1963-05-01	13.0	A
USGS	06846300	1963-05-02	13.0	A
USGS	06846300	1963-05-03	14.0	A
USGS	06846300	1963-05-04	12.0	A
USGS	06846300	1963-05-05	12.0	A
USGS	06846300	1963-05-06	41.0	A
USGS	06846300	1963-05-07	49.0	A
USGS	06846300	1963-05-08	27.0	A
USGS	06846300	1963-05-09	19.0	A
USGS	06846300	1963-05-10	15.0	A
USGS	06846300	1963-05-11	13.0	A
USGS	06846300	1963-05-12	12.0	A
USGS	06846300	1963-05-13	11.0	A
USGS	06846300	1963-05-14	10.0	A
USGS	06846300	1963-05-15	10.0	A
USGS	06846300	1963-05-16	10.0	A
USGS	06846300	1963-05-17	12.0	A
USGS	06846300	1963-05-18	11.0	A
USGS	06846300	1963-05-19	8.90	A
USGS	06846300	1963-05-20	8.60	A
USGS	06846300	1963-05-21	8.30	A
USGS	06846300	1963-05-22	7.90	A
USGS	06846300	1963-05-23	7.60	A
USGS	06846300	1963-05-24	7.90	A
USGS	06846300	1963-05-25	7.90	A
USGS	06846300	1963-05-26	8.30	A
USGS	06846300	1963-05-27	9.70	A
USGS	06846300	1963-05-28	10.0	A
USGS	06846300	1963-05-29	9.70	A
USGS	06846300	1963-05-30	10.0	A
USGS	06846300	1963-05-31	8.90	A
USGS	06846300	1963-06-01	8.30	A
USGS	06846300	1963-06-02	7.30	A
USGS	06846300	1963-06-03	6.70	A
USGS	06846300	1963-06-04	37.0	A
USGS	06846300	1963-06-05	16.0	A
USGS	06846300	1963-06-06	15.0	A
USGS	06846300	1963-06-07	12.0	A
USGS	06846300	1963-06-08	12.0	A
USGS	06846300	1963-06-09	9.70	A
USGS	06846300	1963-06-10	8.30	A
USGS	06846300	1963-06-11	7.30	A
USGS	06846300	1963-06-12	7.00	A
USGS	06846300	1963-06-13	7.00	A
USGS	06846300	1963-06-14	7.90	A
USGS	06846300	1963-06-15	5.70	A
USGS	06846300	1963-06-16	15.0	A
USGS	06846300	1963-06-17	14.0	A
USGS	06846300	1963-06-18	10.0	A
USGS	06846300	1963-06-19	10.0	A
USGS	06846300	1963-06-20	14.0	A
USGS	06846300	1963-06-21	10.0	A
USGS	06846300	1963-06-22	6.00	A
USGS	06846300	1963-06-23	6.00	A
USGS	06846300	1963-06-24	4.40	A
USGS	06846300	1963-06-25	4.00	A
USGS	06846300	1963-06-26	3.60	A
USGS	06846300	1963-06-27	3.10	A
USGS	06846300	1963-06-28	2.80	A
USGS	06846300	1963-06-29	2.20	A
USGS	06846300	1963-06-30	2.00	A
USGS	06846300	1963-07-01	2.00	A
USGS	06846300	1963-07-02	1.80	A
USGS	06846300	1963-07-03	1.50	A
USGS	06846300	1963-07-04	1.30	A
USGS	06846300	1963-07-05	1.20	A
USGS	06846300	1963-07-06	1.00	A
USGS	06846300	1963-07-07	0.80	A
USGS	06846300	1963-07-08	0.60	A
USGS	06846300	1963-07-09	0.50	A
USGS	06846300	1963-07-10	0.50	A
USGS	06846300	1963-07-11	1.80	A
USGS	06846300	1963-07-12	2.80	A
USGS	06846300	1963-07-13	22.0	A
USGS	06846300	1963-07-14	22.0	A
USGS	06846300	1963-07-15	57.0	A
USGS	06846300	1963-07-16	10.0	A
USGS	06846300	1963-07-17	5.70	A
USGS	06846300	1963-07-18	3.10	A
USGS	06846300	1963-07-19	1.40	A
USGS	06846300	1963-07-20	0.80	A
USGS	06846300	1963-07-21	0.50	A
USGS	06846300	1963-07-22	0.60	A
USGS	06846300	1963-07-23	0.30	A
USGS	06846300	1963-07-24	0.10	A
USGS	06846300	1963-07-25	0.00	A
USGS	06846300	1963-07-26	0.00	A
USGS	06846300	1963-07-27	0.00	A
USGS	06846300	1963-07-28	0.00	A
USGS	06846300	1963-07-29	0.00	A
USGS	06846300	1963-07-30	0.00	A
USGS	06846300	1963-07-31	0.00	A
USGS	06846300	1963-08-01	0.00	A
USGS	06846300	1963-08-02	0.00	A
USGS	06846300	1963-08-03	0.00	A
USGS	06846300	1963-08-04	0.90	A
USGS	06846300	1963-08-05	2.80	A
USGS	06846300	1963-08-06	0.50	A
USGS	06846300	1963-08-07	0.10	A
USGS	06846300	1963-08-08	0.10	A
USGS	06846300	1963-08-09	0.00	A
USGS	06846300	1963-08-10	0.00	A
USGS	06846300	1963-08-11	0.00	A
USGS	06846300	1963-08-12	18.0	A
USGS	06846300	1963-08-13	4.60	A
USGS	06846300	1963-08-14	1.40	A
USGS	06846300	1963-08-15	0.80	A
USGS	06846300	1963-08-16	0.20	A
USGS	06846300	1963-08-17	0.10	A
USGS	06846300	1963-08-18	2.50	A
USGS	06846300	1963-08-19	0.80	A
USGS	06846300	1963-08-20	1.20	A
USGS	06846300	1963-08-21	0.40	A
USGS	06846300	1963-08-22	0.00	A
USGS	06846300	1963-08-23	0.00	A
USGS	06846300	1963-08-24	0.00	A
USGS	06846300	1963-08-25	0.00	A
USGS	06846300	1963-08-26	0.00	A
USGS	06846300	1963-08-27	0.00	A
USGS	06846300	1963-08-28	0.00	A
USGS	06846300	1963-08-29	0.00	A
USGS	06846300	1963-08-30	0.00	A
USGS	06846300	1963-08-31	0.00	A
USGS	06846300	1963-09-01	0.00	A
USGS	06846300	1963-09-02	0.00	A
USGS	06846300	1963-09-03	0.00	A
USGS	06846300	1963-09-04	0.00	A
USGS	06846300	1963-09-05	0.00	A
USGS	06846300	1963-09-06	0.00	A
USGS	06846300	1963-09-07	6.70	A
USGS	06846300	1963-09-08	18.0	A
USGS	06846300	1963-09-09	0.40	A
USGS	06846300	1963-09-10	20.0	A
USGS	06846300	1963-09-11	60.0	A
USGS	06846300	1963-09-12	90.0	A
USGS	06846300	1963-09-13	120	A
USGS	06846300	1963-09-14	145	A
USGS	06846300	1963-09-15	68.0	A
USGS	06846300	1963-09-16	39.0	A
USGS	06846300	1963-09-17	26.0	A
USGS	06846300	1963-09-18	16.0	A
USGS	06846300	1963-09-19	10.0	A
USGS	06846300	1963-09-20	22.0	A
USGS	06846300	1963-09-21	180	A
USGS	06846300	1963-09-22	120	A
USGS	06846300	1963-09-23	154	A
USGS	06846300	1963-09-24	95.0	A
USGS	06846300	1963-09-25	72.0	A
USGS	06846300	1963-09-26	62.0	A
USGS	06846300	1963-09-27	63.0	A
USGS	06846300	1963-09-28	38.0	A
USGS	06846300	1963-09-29	27.0	A
USGS	06846300	1963-09-30	21.0	A
USGS	06846300	1963-10-01	17.0	A
USGS	06846300	1963-10-02	14.0	A
USGS	06846300	1963-10-03	13.0	A
USGS	06846300	1963-10-04	12.0	A
USGS	06846300	1963-10-05	10.0	A
USGS	06846300	1963-10-06	8.00	A
USGS	06846300	1963-10-07	6.50	A
USGS	06846300	1963-10-08	6.00	A
USGS	06846300	1963-10-09	5.50	A
USGS	06846300	1963-10-10	5.30	A
USGS	06846300	1963-10-11	5.00	A
USGS	06846300	1963-10-12	4.60	A
USGS	06846300	1963-10-13	4.20	A
USGS	06846300	1963-10-14	4.20	A
USGS	06846300	1963-10-15	4.20	A
USGS	06846300	1963-10-16	3.10	A
USGS	06846300	1963-10-17	3.10	A
USGS	06846300	1963-10-18	3.80	A
USGS	06846300	1963-10-19	4.00	A
USGS	06846300	1963-10-20	4.00	A
USGS	06846300	1963-10-21	9.30	A
USGS	06846300	1963-10-22	5.00	A
USGS	06846300	1963-10-23	5.00	A
USGS	06846300	1963-10-24	5.30	A
USGS	06846300	1963-10-25	5.00	A
USGS	06846300	1963-10-26	4.20	A
USGS	06846300	1963-10-27	3.80	A
USGS	06846300	1963-10-28	3.30	A
USGS	06846300	1963-10-29	3.60	A
USGS	06846300	1963-10-30	3.80	A
USGS	06846300	1963-10-31	4.00	A
USGS	06846300	1963-11-01	3.80	A
USGS	06846300	1963-11-02	4.00	A
USGS	06846300	1963-11-03	4.00	A
USGS	06846300	1963-11-04	4.20	A
USGS	06846300	1963-11-05	4.20	A
USGS	06846300	1963-11-06	4.40	A
USGS	06846300	1963-11-07	4.40	A
USGS	06846300	1963-11-08	4.60	A
USGS	06846300	1963-11-09	4.20	A
USGS	06846300	1963-11-10	4.20	A
USGS	06846300	1963-11-11	4.40	A
USGS	06846300	1963-11-12	4.60	A
USGS	06846300	1963-11-13	4.60	A
USGS	06846300	1963-11-14	4.60	A
USGS	06846300	1963-11-15	4.80	A
USGS	06846300	1963-11-16	5.30	A
USGS	06846300	1963-11-17	5.70	A
USGS	06846300	1963-11-18	6.30	A
USGS	06846300	1963-11-19	6.70	A
USGS	06846300	1963-11-20	6.30	A
USGS	06846300	1963-11-21	7.00	A
USGS	06846300	1963-11-22	6.70	A
USGS	06846300	1963-11-23	8.60	A
USGS	06846300	1963-11-24	9.30	A
USGS	06846300	1963-11-25	7.60	A
USGS	06846300	1963-11-26	6.50	A
USGS	06846300	1963-11-27	6.00	A
USGS	06846300	1963-11-28	6.00	A
USGS	06846300	1963-11-29	5.60	A
USGS	06846300	1963-11-30	5.20	A
USGS	06846300	1963-12-01	5.60	A
USGS	06846300	1963-12-02	4.40	A
USGS	06846300	1963-12-03	4.80	A
USGS	06846300	1963-12-04	4.40	A
USGS	06846300	1963-12-05	4.40	A
USGS	06846300	1963-12-06	4.80	A
USGS	06846300	1963-12-07	5.40	A
USGS	06846300	1963-12-08	5.00	A
USGS	06846300	1963-12-09	4.50	A
USGS	06846300	1963-12-10	4.00	A
USGS	06846300	1963-12-11	3.50	A
USGS	06846300	1963-12-12	3.00	A
USGS	06846300	1963-12-13	2.50	A
USGS	06846300	1963-12-14	2.20	A
USGS	06846300	1963-12-15	2.00	A
USGS	06846300	1963-12-16	1.80	A
USGS	06846300	1963-12-17	1.60	A
USGS	06846300	1963-12-18	1.60	A
USGS	06846300	1963-12-19	1.60	A
USGS	06846300	1963-12-20	1.60	A
USGS	06846300	1963-12-21	1.60	A
USGS	06846300	1963-12-22	1.60	A
USGS	06846300	1963-12-23	1.40	A
USGS	06846300	1963-12-24	1.60	A
USGS	06846300	1963-12-25	2.00	A
USGS	06846300	1963-12-26	2.40	A
USGS	06846300	1963-12-27	2.60	A
USGS	06846300	1963-12-28	2.60	A
USGS	06846300	1963-12-29	2.80	A
USGS	06846300	1963-12-30	2.80	A
USGS	06846300	1963-12-31	3.00	A
USGS	06846300	1964-01-01	3.50	A
USGS	06846300	1964-01-02	4.00	A
USGS	06846300	1964-01-03	5.00	A
USGS	06846300	1964-01-04	5.40	A
USGS	06846300	1964-01-05	6.00	A
USGS	06846300	1964-01-06	5.80	A
USGS	06846300	1964-01-07	5.60	A
USGS	06846300	1964-01-08	5.40	A
USGS	06846300	1964-01-09	5.20	A
USGS	06846300	1964-01-10	5.00	A
USGS	06846300	1964-01-11	4.60	A
USGS	06846300	1964-01-12	4.40	A
USGS	06846300	1964-01-13	4.20	A
USGS	06846300	1964-01-14	4.00	A
USGS	06846300	1964-01-15	4.20	A
USGS	06846300	1964-01-16	4.40	A
USGS	06846300	1964-01-17	4.60	A
USGS	06846300	1964-01-18	4.80	A
USGS	06846300	1964-01-19	5.00	A
USGS	06846300	1964-01-20	4.80	A
USGS	06846300	1964-01-21	5.00	A
USGS	06846300	1964-01-22	5.40	A
USGS	06846300	1964-01-23	5.80	A
USGS	06846300	1964-01-24	5.40	A
USGS	06846300	1964-01-25	5.00	A
USGS	06846300	1964-01-26	4.80	A
USGS	06846300	1964-01-27	5.00	A
USGS	06846300	1964-01-28	5.00	A
USGS	06846300	1964-01-29	4.80	A
USGS	06846300	1964-01-30	5.00	A
USGS	06846300	1964-01-31	5.20	A
USGS	06846300	1964-02-01	5.60	A
USGS	06846300	1964-02-02	6.00	A
USGS	06846300	1964-02-03	6.20	A
USGS	06846300	1964-02-04	6.00	A
USGS	06846300	1964-02-05	5.40	A
USGS	06846300	1964-02-06	5.40	A
USGS	06846300	1964-02-07	5.20	A
USGS	06846300	1964-02-08	5.20	A
USGS	06846300	1964-02-09	5.20	A
USGS	06846300	1964-02-10	5.20	A
USGS	06846300	1964-02-11	5.00	A
USGS	06846300	1964-02-12	5.00	A
USGS	06846300	1964-02-13	4.80	A
USGS	06846300	1964-02-14	4.60	A
USGS	06846300	1964-02-15	4.40	A
USGS	06846300	1964-02-16	4.20	A
USGS	06846300	1964-02-17	4.60	A
USGS	06846300	1964-02-18	5.40	A
USGS	06846300	1964-02-19	5.20	A
USGS	06846300	1964-02-20	5.00	A
USGS	06846300	1964-02-21	4.60	A
USGS	06846300	1964-02-22	4.80	A
USGS	06846300	1964-02-23	5.00	A
USGS	06846300	1964-02-24	5.00	A
USGS	06846300	1964-02-25	5.20	A
USGS	06846300	1964-02-26	5.00	A
USGS	06846300	1964-02-27	4.60	A
USGS	06846300	1964-02-28	4.80	A
USGS	06846300	1964-02-29	5.20	A
USGS	06846300	1964-03-01	5.40	A
USGS	06846300	1964-03-02	6.00	A
USGS	06846300	1964-03-03	7.00	A
USGS	06846300	1964-03-04	6.40	A
USGS	06846300	1964-03-05	6.20	A
USGS	06846300	1964-03-06	8.00	A
USGS	06846300	1964-03-07	7.00	A
USGS	06846300	1964-03-08	7.00	A
USGS	06846300	1964-03-09	7.00	A
USGS	06846300	1964-03-10	8.00	A
USGS	06846300	1964-03-11	8.00	A
USGS	06846300	1964-03-12	7.00	A
USGS	06846300	1964-03-13	9.00	A
USGS	06846300	1964-03-14	8.50	A
USGS	06846300	1964-03-15	9.10	A
USGS	06846300	1964-03-16	8.80	A
USGS	06846300	1964-03-17	8.20	A
USGS	06846300	1964-03-18	8.20	A
USGS	06846300	1964-03-19	9.00	A
USGS	06846300	1964-03-20	8.00	A
USGS	06846300	1964-03-21	6.00	A
USGS	06846300	1964-03-22	8.00	A
USGS	06846300	1964-03-23	10.0	A
USGS	06846300	1964-03-24	5.60	A
USGS	06846300	1964-03-25	5.00	A
USGS	06846300	1964-03-26	8.00	A
USGS	06846300	1964-03-27	14.0	A
USGS	06846300	1964-03-28	15.0	A
USGS	06846300	1964-03-29	15.0	A
USGS	06846300	1964-03-30	17.0	A
USGS	06846300	1964-03-31	17.0	A
USGS	06846300	1964-04-01	16.0	A
USGS	06846300	1964-04-02	14.0	A
USGS	06846300	1964-04-03	17.0	A
USGS	06846300	1964-04-04	17.0	A
USGS	06846300	1964-04-05	18.0	A
USGS	06846300	1964-04-06	20.0	A
USGS	06846300	1964-04-07	20.0	A
USGS	06846300	1964-04-08	20.0	A
USGS	06846300	1964-04-09	19.0	A
USGS	06846300	1964-04-10	17.0	A
USGS	06846300	1964-04-11	15.0	A
USGS	06846300	1964-04-12	11.0	A
USGS	06846300	1964-04-13	12.0	A
USGS	06846300	1964-04-14	12.0	A
USGS	06846300	1964-04-15	12.0	A
USGS	06846300	1964-04-16	12.0	A
USGS	06846300	1964-04-17	12.0	A
USGS	06846300	1964-04-18	11.0	A
USGS	06846300	1964-04-19	11.0	A
USGS	06846300	1964-04-20	11.0	A
USGS	06846300	1964-04-21	12.0	A
USGS	06846300	1964-04-22	12.0	A
USGS	06846300	1964-04-23	13.0	A
USGS	06846300	1964-04-24	13.0	A
USGS	06846300	1964-04-25	13.0	A
USGS	06846300	1964-04-26	13.0	A
USGS	06846300	1964-04-27	15.0	A
USGS	06846300	1964-04-28	11.0	A
USGS	06846300	1964-04-29	13.0	A
USGS	06846300	1964-04-30	13.0	A
USGS	06846300	1964-05-01	13.0	A
USGS	06846300	1964-05-02	12.0	A
USGS	06846300	1964-05-03	12.0	A
USGS	06846300	1964-05-04	13.0	A
USGS	06846300	1964-05-05	13.0	A
USGS	06846300	1964-05-06	12.0	A
USGS	06846300	1964-05-07	11.0	A
USGS	06846300	1964-05-08	11.0	A
USGS	06846300	1964-05-09	10.0	A
USGS	06846300	1964-05-10	10.0	A
USGS	06846300	1964-05-11	11.0	A
USGS	06846300	1964-05-12	11.0	A
USGS	06846300	1964-05-13	11.0	A
USGS	06846300	1964-05-14	11.0	A
USGS	06846300	1964-05-15	11.0	A
USGS	06846300	1964-05-16	10.0	A
USGS	06846300	1964-05-17	9.80	A
USGS	06846300	1964-05-18	9.10	A
USGS	06846300	1964-05-19	8.50	A
USGS	06846300	1964-05-20	7.90	A
USGS	06846300	1964-05-21	7.00	A
USGS	06846300	1964-05-22	6.50	A
USGS	06846300	1964-05-23	6.00	A
USGS	06846300	1964-05-24	5.40	A
USGS	06846300	1964-05-25	4.90	A
USGS	06846300	1964-05-26	4.40	A
USGS	06846300	1964-05-27	4.20	A
USGS	06846300	1964-05-28	4.40	A
USGS	06846300	1964-05-29	4.70	A
USGS	06846300	1964-05-30	5.10	A
USGS	06846300	1964-05-31	5.10	A
USGS	06846300	1964-06-01	6.20	A
USGS	06846300	1964-06-02	6.50	A
USGS	06846300	1964-06-03	7.30	A
USGS	06846300	1964-06-04	13.0	A
USGS	06846300	1964-06-05	14.0	A
USGS	06846300	1964-06-06	43.0	A
USGS	06846300	1964-06-07	20.0	A
USGS	06846300	1964-06-08	12.0	A
USGS	06846300	1964-06-09	9.10	A
USGS	06846300	1964-06-10	7.60	A
USGS	06846300	1964-06-11	6.20	A
USGS	06846300	1964-06-12	4.70	A
USGS	06846300	1964-06-13	4.70	A
USGS	06846300	1964-06-14	5.40	A
USGS	06846300	1964-06-15	4.00	A
USGS	06846300	1964-06-16	63.0	A
USGS	06846300	1964-06-17	197	A
